swenson_name,SPCD,GENUS,SPECIES,VARIETY,SUBSPECIES,trait.genus,trait.species,sp_in,sp_out,species_name,Height,Seed,Density,Nitrogen,Height_source,Height_indicator,Seed_source,Seed_indicator,Density.source,Density_indicator,Nitrogen_source,Nitrogen_indicator,NOTES
diospyros_texana,522,Diospyros,texana,,,diospyros,texana,522,522,NA,16.764,147.8,0.67,2.82,derived,2,Royal Botanical Gardens Kew 2008,0,derived,2,derived,2,
gleditsia_triacanthos,552,Gleditsia,triacanthos,,,gleditsia,triacanthos,552,552,Gleditsia triacanthos,21.336,161.997275,0.6,2.8,USDA 2011,0,USDA 2011,0,1,0,19,0,
juniperus_deppeana,63,Juniperus,deppeana,,,juniperus,deppeana,63,63,NA,18.288,177.62,0.54,2.8,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
prunus_virginiana,763,Prunus,virginiana,,,prunus,virginiana,763,763,Prunus virginiana var virginiana,7.62,91.24771072,0.36,2.8,USDA 2011,0,USDA 2011,0,2,1,29,0,
juniperus_ashei,61,Juniperus,ashei,,,juniperus,ashei,61,61,NA,6.096,42.9,0.59,2.78,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
juglans_spp.,600,Juglans,spp.,,,juglans,spp.,600,600,NA,27.432,13229.77746,0.435,2.78,derived,2,derived,2,derived,2,derived,2,
gleditsia_spp.,550,Gleditsia,spp.,,,gleditsia,spp.,550,550,NA,16.764,156.5973659,0.655,2.75,derived,2,derived,2,derived,2,derived,2,
gleditsia_aquatica,551,Gleditsia,aquatica,,,gleditsia,aquatica,551,551,Gleditsia aquatica,12.192,151.1974567,0.71,2.7,USDA 2011,0,USDA 2011,0,2,1,30,1,
prunus_serotina,762,Prunus,serotina,,,prunus,serotina,762,762,Prunus serotina,24.384,94.49841042,0.47,2.679,USDA 2011,0,USDA 2011,0,1,0,29,0,
avicennia_germinans,986,Avicennia,germinans,,,avicennia,germinans,986,986,NA,9.144,10120,0.75,2.62,USDA 2012,0,Swenson and Weiser 2010,0,2,1,30,1,
carya_cordiformis,402,Carya,cordiformis,,,carya,cordiformis,402,402,Carya cordiformis,22.86,2907.643397,0.6,2.6,USDA 2011,0,USDA 2011,0,1,0,29,0,
sorbus_decora,937,Sorbus,decora,,,sorbus,decora,937,937,NA,12.192,29.87895198,0.544,2.6,USDA 2012,0,USDA 2012,0,derived,2,derived,2,
sorbus_spp.,934,Sorbus,spp.,,,sorbus,spp.,934,934,NA,12.192,16.35695215,0.544,2.6,derived,2,derived,2,derived,2,derived,2,
