lat,lon,genus,species,count
29.514833,-99.181185,Juniperus,ashei,35
29.514833,-99.181185,Quercus,virginiana,30
29.528627,-83.195684,Quercus,laevis,1
29.531145,-82.912139,Quercus,laevis,1
29.531145,-82.912139,Quercus,virginiana,1
29.531145,-82.912139,Quercus,incana,1
29.534233,-90.518649,Taxodium,distichum,1
29.534233,-90.518649,Acer,negundo,6
29.534233,-90.518649,Quercus,pagoda,8
29.538823,-99.601034,Juniperus,ashei,60
29.538823,-99.601034,Diospyros,texana,2
29.538823,-99.601034,Quercus,laceyi,1
29.544379,-81.595415,Pinus,clausa,18
29.544379,-81.595415,Quercus,incana,9
29.545064,-82.063831,Pinus,clausa,6
29.54698,-82.181724,Taxodium,ascendens,13
29.548987,-97.396091,Ulmus,crassifolia,1
29.55664,-81.288512,Taxodium,distichum,1
29.55664,-81.288512,Gordonia,lasianthus,1
29.560395,-99.458443,Diospyros,texana,16
29.56095,-97.257704,Quercus,marilandica,3
29.56095,-97.257704,Quercus,stellata,32
29.561918,-82.611267,Quercus,minima,8
29.576168,-99.865114,Juniperus,ashei,37
29.576168,-99.865114,Quercus,laceyi,5
29.586615,-98.767177,Quercus,virginiana,1
29.607288,-100.135765,Juniperus,ashei,12
29.607288,-100.135765,Quercus,virginiana,9
29.617346,-91.470046,Salix,nigra,10
29.619376,-81.720388,Gordonia,lasianthus,1
29.619376,-81.720388,Nyssa,biflora,3
29.620114,-99.033515,Juniperus,ashei,15
29.622505,-104.351247,Prosopis,glandulosa,31
29.625962,-91.311183,Taxodium,distichum,32
29.625962,-91.311183,Salix,nigra,32
29.631279,-96.698867,Celtis,laevigata,12
29.631279,-96.698867,Ulmus,americana,14
29.63211,-97.934506,Crataegus,spp.,3
29.63211,-97.934506,Ulmus,crassifolia,1
29.633448,-83.282355,Sabal,palmetto,1
29.633683,-100.393023,Juniperus,ashei,8
29.634205,-95.305221,Sideroxylon,lanuginosum,5
29.634205,-95.305221,Ilex,opaca,1
29.634205,-95.305221,Ulmus,rubra,1
29.634205,-95.305221,Triadica,sebifera,21
29.666161,-98.187129,Ulmus,crassifolia,2
29.668679,-99.296923,Juniperus,ashei,11
29.668679,-99.296923,Quercus,virginiana,34
29.687,-91.4381,Nyssa,aquatica,2
29.687,-91.4381,Persea,borbonia,9
29.693167,-81.844392,Quercus,minima,20
29.700076,-82.129099,Cinnamomum,camphora,5
29.702908,-82.259519,Pinus,elliottii,18
29.702908,-82.259519,Pinus,palustris,14
29.70511,-90.512915,Taxodium,distichum,2
29.70511,-90.512915,Fraxinus,pennsylvanica,16
29.710404,-97.365774,Celtis,laevigata,30
29.710404,-97.365774,Ulmus,crassifolia,1
29.720857,-99.422719,Juglans,microcarpa,1
29.720857,-99.422719,Quercus,buckleyi,9
29.731854,-100.786206,Juniperus,pinchotii,3
29.731854,-100.786206,Juniperus,ashei,6
29.731854,-100.786206,Acacia,farnesiana,3
29.731854,-100.786206,Diospyros,texana,14
29.736178,-99.838307,Juniperus,ashei,68
29.736178,-99.838307,Quercus,buckleyi,2
29.736178,-99.838307,Quercus,laceyi,9
29.737473,-101.197352,Diospyros,texana,9
29.745985,-81.712006,Gordonia,lasianthus,9
29.763526,-95.155566,Pinus,taeda,19
29.763526,-95.155566,Fraxinus,pennsylvanica,1
29.763526,-95.155566,Quercus,falcata,1
29.763526,-95.155566,Quercus,nigra,6
29.763526,-95.155566,Quercus,phellos,3
29.767009,-98.577482,Juniperus,ashei,18
29.767009,-98.577482,Quercus,virginiana,4
29.773697,-101.0584,Juniperus,ashei,3
29.776425,-100.095518,Diospyros,texana,18
29.777946,-82.669479,Persea,borbonia,1
29.792369,-95.952365,Triadica,sebifera,6
29.796301,-99.958968,Juniperus,ashei,14
29.796301,-99.958968,Pinus,remota,2
29.796301,-99.958968,Diospyros,texana,3
29.796301,-99.958968,Quercus,laceyi,1
29.804882,-100.362814,Juniperus,ashei,4
29.804882,-100.362814,Diospyros,texana,6
29.805703,-95.255171,Quercus,nigra,8
29.805703,-95.255171,Quercus,phellos,3
29.805703,-95.255171,Ulmus,americana,3
29.807039,-83.422543,Family Arecaceae,not listed above,1
29.807039,-83.422543,Salix,caroliniana,6
29.812269,-97.749518,Sideroxylon,lanuginosum,1
29.817053,-99.266556,Juniperus,ashei,2
29.838313,-103.645348,Prosopis,glandulosa,2
29.841558,-90.462653,Salix,nigra,4
29.843758,-100.635937,Pinus,remota,4
29.848947,-99.121833,Quercus,virginiana,34
29.848947,-99.121833,Tilia,americana,1
29.854632,-81.514426,Cinnamomum,camphora,1
29.865182,-90.13141,Triadica,sebifera,6
29.867444,-81.911908,Gordonia,lasianthus,1
29.867864,-83.504372,Salix,caroliniana,9
29.867864,-81.781711,Taxodium,ascendens,1
29.867864,-81.781711,Gordonia,lasianthus,1
29.869042,-82.515808,Pinus,glabra,5
29.869042,-82.515808,Fraxinus,profunda,2
29.870734,-83.220135,Taxodium,distichum,1
29.870734,-83.220135,Taxodium,ascendens,3
29.872738,-98.437743,Diospyros,texana,9
29.872738,-98.437743,Ulmus,crassifolia,4
